iter	Passed	Remaining
0	8	2396
1	13	1987
2	18	1832
3	24	1839
4	31	1839
5	35	1753
6	41	1724
7	46	1698
8	51	1663
9	56	1632
10	60	1599
11	66	1596
12	74	1636
13	79	1630
14	85	1626
15	92	1646
16	98	1640
17	104	1632
18	109	1614
19	114	1599
20	119	1584
21	128	1617
22	133	1611
23	138	1588
24	142	1569
25	147	1558
26	154	1565
27	161	1570
28	167	1563
29	172	1551
30	180	1562
31	187	1567
32	193	1565
33	199	1559
34	205	1552
35	211	1550
36	216	1535
37	221	1524
38	226	1512
39	232	1511
40	240	1519
41	246	1514
42	253	1516
43	258	1506
44	266	1507
45	272	1502
46	278	1498
47	285	1499
48	290	1490
49	297	1485
50	301	1472
51	306	1460
52	311	1449
53	315	1436
54	319	1423
55	323	1409
56	327	1396
57	331	1384
58	335	1372
59	339	1359
60	343	1347
61	348	1335
62	353	1329
63	358	1320
64	363	1313
65	369	1311
66	374	1301
67	379	1293
68	383	1283
69	387	1274
70	392	1267
71	398	1261
72	403	1255
73	408	1248
74	413	1240
75	417	1231
76	421	1220
77	425	1210
78	430	1203
79	434	1196
80	439	1188
81	446	1187
82	451	1179
83	455	1170
84	459	1161
85	463	1152
86	466	1143
87	470	1134
88	474	1125
89	478	1116
90	482	1108
91	486	1099
92	490	1091
93	494	1083
94	498	1075
95	502	1067
96	506	1059
97	510	1051
98	513	1043
99	517	1035
100	521	1028
101	525	1020
102	530	1013
103	535	1008
104	540	1003
105	544	996
106	548	989
107	552	982
108	556	974
109	560	967
110	565	963
111	570	958
112	574	951
113	579	945
114	583	938
115	587	931
116	591	925
117	598	923
118	602	917
119	608	912
120	612	906
121	617	900
122	622	895
123	630	894
124	635	889
125	639	883
126	644	877
127	648	871
128	653	866
129	662	865
130	666	860
131	671	854
132	675	848
133	683	846
134	690	843
135	695	838
136	699	832
137	704	826
138	709	821
139	715	817
140	720	812
141	725	807
142	730	802
143	735	796
144	740	791
145	744	785
146	749	779
147	753	773
148	758	768
149	762	762
150	766	756
151	770	750
152	776	745
153	780	740
154	784	734
155	791	730
156	796	725
157	801	720
158	807	715
159	812	710
160	817	705
161	822	700
162	827	695
163	832	690
164	837	685
165	842	679
166	846	674
167	850	668
168	855	662
169	859	657
170	863	651
171	868	646
172	872	640
173	876	634
174	880	628
175	883	622
176	887	616
177	892	611
178	897	606
179	901	600
180	905	595
181	911	590
182	915	585
183	919	579
184	923	574
185	927	568
186	931	562
187	934	556
188	938	551
189	942	545
190	946	539
191	950	534
192	954	528
193	958	523
194	963	519
195	971	515
196	978	511
197	983	506
198	987	501
199	991	495
200	995	490
201	1000	485
202	1004	480
203	1008	474
204	1013	469
205	1024	467
206	1028	461
207	1032	456
208	1036	451
209	1040	445
210	1044	440
211	1047	434
212	1051	429
213	1055	424
214	1059	418
215	1063	413
216	1067	408
217	1070	402
218	1075	397
219	1079	392
220	1085	387
221	1089	382
222	1093	377
223	1097	372
224	1101	367
225	1105	361
226	1109	356
227	1113	351
228	1117	346
229	1121	341
230	1125	336
231	1129	331
232	1133	325
233	1137	320
234	1140	315
235	1144	310
236	1148	305
237	1153	300
238	1157	295
239	1162	290
240	1166	285
241	1171	280
242	1176	276
243	1181	271
244	1187	266
245	1192	261
246	1197	256
247	1201	252
248	1206	247
249	1211	242
250	1215	237
251	1219	232
252	1223	227
253	1228	222
254	1232	217
255	1236	212
256	1240	207
257	1244	202
258	1248	197
259	1252	192
260	1257	187
261	1262	183
262	1267	178
263	1271	173
264	1275	168
265	1279	163
266	1283	158
267	1289	153
268	1293	149
269	1297	144
270	1301	139
271	1306	134
272	1310	129
273	1314	124
274	1318	119
275	1322	115
276	1326	110
277	1331	105
278	1336	100
279	1340	95
280	1344	90
281	1350	86
282	1354	81
283	1358	76
284	1362	71
285	1366	66
286	1369	62
287	1373	57
288	1378	52
289	1382	47
290	1386	42
291	1390	38
292	1394	33
293	1398	28
294	1403	23
295	1407	19
296	1412	14
297	1416	9
298	1419	4
299	1423	0
