,Potability
447,0
2587,0
2655,0
166,0
917,0
2645,0
1786,0
3255,1
2037,1
2610,0
3035,0
1507,1
66,0
1769,0
1464,0
903,0
303,1
37,0
468,0
104,0
983,0
1356,0
519,0
2725,1
238,0
2749,1
3123,1
2649,0
1063,0
2823,1
2558,0
1172,1
2152,0
3,0
2791,1
1016,0
1158,1
1619,1
1530,1
2572,0
2627,0
2559,0
2541,0
1969,1
2201,0
1700,0
1509,1
2869,0
2470,0
738,1
3150,1
2505,0
1555,1
1817,0
1900,1
1187,1
2065,0
2824,1
467,0
1752,0
2861,1
1854,0
3138,1
3155,1
1343,0
49,0
878,0
2742,1
1659,0
2236,0
1517,1
703,1
702,1
584,0
2263,0
2296,0
2747,1
3052,0
1068,0
1571,1
2500,0
36,0
1538,1
1327,0
2581,0
3178,1
1604,1
1167,1
2155,0
2619,0
974,0
344,1
2834,1
3114,0
1149,1
1902,1
2715,1
322,1
785,1
2526,0
2810,1
406,1
508,0
736,1
299,1
74,0
1768,0
676,1
843,0
2079,0
2991,0
2813,1
1122,1
2730,1
91,0
2837,1
3144,1
136,0
60,0
2801,1
2582,0
140,0
1859,0
449,0
376,1
1636,1
2879,0
258,1
2894,0
1040,0
730,1
2980,0
852,0
863,0
179,0
157,0
65,0
2373,1
1764,0
2245,0
2006,1
2070,0
1725,0
2883,0
1393,0
2884,0
171,0
1233,0
2570,0
2325,1
2841,1
2469,0
2669,0
993,0
2457,1
2356,1
3043,0
62,0
1094,1
1459,0
2123,0
2036,1
3047,0
474,0
1494,1
3024,0
21,0
204,0
2066,0
2080,0
2513,0
1421,0
32,0
1281,0
753,1
2756,1
875,0
1557,1
1698,0
1879,0
591,0
2493,0
2378,1
69,0
1466,0
1939,1
1763,0
3105,0
2607,0
3136,1
163,0
1371,0
706,1
426,0
2386,1
1278,0
97,0
2956,0
233,0
3056,0
1738,0
1730,0
417,0
2569,0
1994,1
2583,0
2403,1
1932,1
72,0
1657,0
1017,0
928,0
332,1
2136,0
493,0
358,1
1092,1
944,0
932,0
502,0
1375,0
2782,1
1985,1
1413,0
1611,1
1051,0
254,1
2600,0
555,0
2411,1
1582,1
2648,0
624,0
1766,0
3157,1
1647,0
1370,0
409,1
2173,0
3182,1
596,0
2110,0
988,0
2026,1
1914,1
1662,0
3254,1
2227,0
293,1
648,0
1227,1
853,0
2467,0
68,0
1159,1
1473,0
1623,1
2093,0
1888,0
1050,0
2348,1
485,0
2205,0
2762,1
461,0
392,1
979,0
1400,0
3058,0
2113,0
3211,1
3249,1
195,0
791,1
2034,1
18,0
811,1
19,0
2962,0
2522,0
7,0
46,0
1618,1
2435,1
2048,1
2689,0
2777,1
2138,0
2423,1
1574,1
244,0
1658,0
2087,0
2089,0
2701,0
2279,0
1802,0
2421,1
604,0
3197,1
1531,1
1843,0
2727,1
117,0
980,0
2731,1
658,0
2940,0
1038,0
2426,1
3126,1
2351,1
1348,0
1516,1
1506,1
2175,0
1411,0
3134,1
3196,1
284,1
605,0
2171,0
1761,0
1301,0
899,0
2773,1
3217,1
2772,1
1325,0
588,0
2412,1
2188,0
145,0
1161,1
620,0
636,0
610,0
323,1
2872,0
2788,1
1982,1
3190,1
1534,1
1977,1
101,0
1660,0
1115,1
6,0
256,1
2621,0
2396,1
784,1
1252,0
353,1
3121,1
864,0
906,0
3104,0
1797,0
1138,1
2892,0
27,0
2947,0
2586,0
437,0
2081,0
2578,0
2613,0
1313,0
2044,1
2741,1
2195,0
2163,0
2560,0
689,1
2929,0
1787,0
1290,0
2706,0
862,0
3117,1
2091,0
381,1
224,0
3252,1
528,0
1102,1
308,1
1488,1
2447,1
29,0
3115,0
2379,1
2363,1
639,0
1135,1
2806,1
795,1
1306,0
2835,1
1588,1
412,0
2291,0
537,0
1519,1
1867,0
2682,0
2997,0
1809,0
721,1
364,1
1648,0
2764,1
2181,0
644,0
1996,1
1490,1
2683,0
2255,0
2520,0
3168,1
2767,1
777,1
2900,0
1429,0
2594,0
2831,1
1234,0
3054,0
3032,0
1597,1
398,1
13,0
545,0
2024,1
1803,0
2040,1
1804,0
137,0
902,0
1976,1
1540,1
484,0
2785,1
2050,0
578,0
334,1
879,0
1505,1
2219,0
2488,0
634,0
1019,0
1408,0
3130,1
2223,0
782,1
2012,1
722,1
1524,1
2765,1
631,0
2194,0
196,0
825,0
2637,0
2119,0
693,1
968,0
444,0
3028,0
3240,1
2859,1
2375,1
715,1
2591,0
2217,0
2529,0
2734,1
890,0
1294,0
3044,0
291,1
1702,0
2751,1
1781,0
2996,0
2078,0
2004,1
188,0
255,1
1395,0
2815,1
933,0
3238,1
2197,0
1010,0
420,0
2748,1
3174,1
1101,1
464,0
2132,0
2215,0
976,0
1398,0
680,1
2625,0
655,0
815,1
701,1
2051,0
1729,0
1164,1
991,0
2266,0
2576,0
310,1
2121,0
1599,1
339,1
1224,1
3234,1
2699,0
597,0
203,0
1328,0
1911,1
2208,0
1954,1
1523,1
1322,0
2067,0
1759,0
798,1
2833,1
766,1
3179,1
783,1
160,0
1435,0
2415,1
2867,1
1221,1
1946,1
1857,0
325,1
2565,0
2995,0
86,0
2878,0
3017,0
1663,0
3128,1
1563,1
1257,0
2662,0
1020,0
1548,1
2334,1
1776,0
2307,1
473,0
2679,0
495,0
3147,1
516,0
3205,1
1587,1
219,0
3049,0
666,1
1471,0
2360,1
2286,0
569,0
88,0
1125,1
2561,0
1420,0
1741,0
2606,0
1474,0
1872,0
1407,0
3089,0
3093,0
1716,0
969,0
1376,0
2927,0
120,0
1775,0
971,0
5,0
1510,1
1682,0
527,0
416,0
876,0
910,0
3181,1
2278,0
590,0
1735,0
2589,0
977,0
2335,1
894,0
754,1
1892,1
2241,0
1170,1
3266,1
1331,0
1100,1
697,1
2276,0
2130,0
3262,1
501,0
2754,1
2209,0
1090,1
2376,1
2516,0
2532,0
1824,0
321,1
2704,0
131,0
2874,0
28,0
2945,0
1208,1
897,0
368,1
937,0
2851,1
2148,0
2647,0
3061,0
2970,0
2580,0
2530,0
1291,0
872,0
2174,0
2917,0
274,1
1324,0
327,1
921,0
3163,1
2370,1
1432,0
874,0
2718,1
2579,0
1486,1
2596,0
129,0
315,1
462,0
2140,0
1056,0
1949,1
616,0
1560,1
954,0
106,0
294,1
1415,0
2049,1
1304,0
3259,1
919,0
1681,0
1608,1
2860,1
2755,1
3256,1
2976,0
342,1
1922,1
2002,1
3210,1
2908,0
2949,0
544,0
127,0
787,1
2180,0
1487,1
1886,0
463,0
262,1
2944,0
1470,0
356,1
1920,1
2019,1
3171,1
2672,0
304,1
2537,0
1146,1
1706,0
1821,0
1644,0
2068,0
283,1
793,1
15,0
3250,1
2211,0
2696,0
1126,1
1338,0
2439,1
1513,1
2137,0
2686,0
410,0
2120,0
2422,1
2381,1
2318,1
263,1
1011,0
1085,1
135,0
1586,1
44,0
1307,0
2102,0
2077,0
305,1
2694,0
2723,1
45,0
296,1
1077,1
2802,1
2076,0
2183,0
1772,0
2453,1
439,0
220,0
3098,0
2568,0
3244,1
893,0
312,1
3133,1
2116,0
668,1
742,1
1137,1
3113,0
415,0
3088,0
3051,0
673,1
2107,0
3148,1
1004,0
1453,0
2475,0
2061,0
2342,1
2904,0
2298,0
2229,0
781,1
1875,0
1847,0
1380,0
2858,1
442,0
2490,0
942,0
857,0
2230,0
483,0
2536,0
709,1
565,0
2678,0
568,0
176,0
93,0
1145,1
2965,0
940,0
1561,1
2390,1
383,1
2608,0
2345,1
1762,0
3233,1
279,1
2680,0
1683,0
1160,1
436,0
1363,0
218,0
1308,0
630,0
1793,0
476,0
2358,1
1136,1
2789,1
2382,1
990,0
1609,1
3118,1
2982,0
1500,1
813,1
3057,0
824,0
1060,0
217,0
142,0
981,0
2419,1
3167,1
1968,1
2713,1
771,1
665,1
512,0
126,0
1964,1
2758,1
2790,1
789,1
3029,0
1499,1
2094,0
1810,0
550,0
866,0
1143,1
1575,1
2316,1
